,year,month,count
0,2007,Apr,1
1,2007,Aug,3
2,2007,Dec,5
3,2007,Jul,2
4,2007,Jun,3
5,2007,May,10
6,2007,Nov,2
7,2007,Oct,1
8,2007,Sep,2
9,2008,Apr,14
10,2008,Aug,13
11,2008,Feb,12
12,2008,Jan,14
13,2008,Jul,18
14,2008,Jun,18
15,2008,Mar,29
16,2008,May,12
17,2008,Nov,8
18,2008,Oct,28
19,2008,Sep,17
20,2009,Apr,2
21,2009,Aug,11
22,2009,Dec,21
23,2009,Jan,2
24,2009,Jul,6
25,2009,Jun,13
26,2009,Mar,1
27,2009,May,7
28,2009,Nov,22
29,2009,Oct,9
30,2009,Sep,20
31,2010,Apr,15
32,2010,Aug,29
33,2010,Dec,20
34,2010,Feb,20
35,2010,Jan,47
36,2010,Jul,28
37,2010,Jun,29
38,2010,Mar,33
39,2010,May,19
40,2010,Nov,26
41,2010,Oct,57
42,2010,Sep,28
43,2011,Apr,1
44,2011,Aug,50
45,2011,Dec,80
46,2011,Feb,15
47,2011,Jan,46
48,2011,Jul,86
49,2011,Jun,20
50,2011,Mar,18
51,2011,May,6
52,2011,Nov,67
53,2011,Oct,82
54,2011,Sep,83
55,2012,Apr,152
56,2012,Aug,257
57,2012,Dec,73
58,2012,Feb,119
59,2012,Jan,119
60,2012,Jul,199
61,2012,Jun,208
62,2012,Mar,145
63,2012,May,196
64,2012,Nov,226
65,2012,Oct,499
66,2012,Sep,299
67,2013,Apr,60
68,2013,Aug,114
69,2013,Dec,85
70,2013,Feb,104
71,2013,Jan,77
72,2013,Jul,109
73,2013,Jun,98
74,2013,Mar,101
75,2013,May,44
76,2013,Nov,82
77,2013,Oct,100
78,2013,Sep,74
79,2014,Apr,111
80,2014,Aug,48
81,2014,Dec,59
82,2014,Feb,122
83,2014,Jan,135
84,2014,Jul,89
85,2014,Jun,89
86,2014,Mar,110
87,2014,May,67
88,2014,Nov,67
89,2014,Oct,71
90,2014,Sep,58
91,2015,Apr,58
92,2015,Aug,61
93,2015,Dec,43
94,2015,Feb,36
95,2015,Jan,77
96,2015,Jul,79
97,2015,Jun,65
98,2015,Mar,72
99,2015,May,43
100,2015,Nov,49
101,2015,Oct,41
102,2015,Sep,48
103,2016,Apr,47
104,2016,Aug,45
105,2016,Dec,2
106,2016,Feb,35
107,2016,Jan,80
108,2016,Jul,23
109,2016,Jun,43
110,2016,Mar,50
111,2016,May,40
112,2016,Nov,4
113,2016,Oct,18
114,2016,Sep,40
