,0,1
0,ActOnClimate,147
1,SOTU,116
2,Obama2012,105
3,RaiseTheWage,72
4,Obamacare,66
5,progress,54
6,DoYourJobpic,48
7,DontDoubleMyRate,46
8,ActOnClimatepic,44
9,OpportunityForAll,40
10,EnoughAlready,39
11,ABetterBargain,38
12,ImmigrationAction,37
13,CollegeOpportunity,35
14,DinnerWithBarack,34
15,GetCovered,31
16,ACA,29
17,BuffettRule,27
18,MadeInAmerica,26
19,Forward2012,26
20,immigration,25
21,hc09,22
22,LoveIsLove,21
23,WeDemandAVote,20
24,EqualPay,19
25,DemandAction,19
26,Romnesia,19
27,DoYourJob,18
28,ImmigrationReform,17
29,climate,16
30,IranDeal,15
31,RebuildAmerica,15
32,LoveIsLovepic,14
33,LoveWins,14
34,Forward,14
35,RenewUI,13
36,GetCoveredNow,13
37,NowIsTheTime,13
38,DADT,13
39,ActOnJobs,12
40,RaiseTheWagepic,12
41,PeopleOverPolitics,12
42,MakeCollegeAffordable,12
43,ILikeObamacare,12
44,SOTUpic,11
45,DoSomething,11
46,StandWithWomen,11
47,MLKDream50,11
48,JobsNotCuts,11
